Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,149,0,130,181.57261879191506,87.74730000004638,1357.6419999999416,6068.0,3.435425569956644,0.0,130,140,150,160,200,460,1300,1300,1400,1400,1400
POST,/api/auth/request-otp,50,0,230,316.88443000004554,156.9337999999334,749.7518999998647,54.0,1.1528273724686726,0.0,230,280,400,460,710,720,750,750,750,750,750
POST,/api/auth/verify-otp,50,0,140,237.7190100000189,98.19880000031844,1360.6387999998333,62.0,1.1528273724686726,0.0,140,140,170,200,760,1200,1400,1400,1400,1400,1400
GET,/api/profile,480,0,120,179.45566375000595,88.09999999994034,1423.640400000295,265.375,11.067142775699256,0.0,120,130,140,160,190,610,1200,1300,1400,1400,1400
POST,/api/profile,314,0,130,176.1369684713219,96.22319999925821,1421.3902000001326,280.2611464968153,7.239755899103264,0.0,130,140,160,170,200,280,1000,1300,1400,1400,1400
,Aggregated,1043,0,130,188.1401906999009,87.74730000004638,1423.640400000295,1078.9204218600191,24.04797898969651,0.0,130,140,160,170,230,600,1200,1300,1400,1400,1400
