Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,749,0,5900,7619.947623631514,693.1819000001269,15573.366699999497,6068.0,16.669472453070288,0.0,5900,11000,12000,12000,14000,15000,15000,15000,16000,16000,16000
GET,/api/health-data,308,308,460,639.3693058441427,167.10909999983414,2210.374399999637,32.0,6.854736335841987,6.854736335841987,460,520,700,850,1800,1900,2000,2200,2200,2200,2200
GET,/api/schemes,311,311,3600,4536.320435048254,616.1480000000665,9306.84680000013,22.0,6.921503248204084,6.921503248204084,3600,5800,6700,7000,8300,8400,8700,8700,9300,9300,9300
GET,/scripts/app_v2.js,375,0,5800,7625.654701866684,653.687600000012,15239.074199999777,93735.0,8.345864045262159,0.0,5800,11000,12000,13000,15000,15000,15000,15000,15000,15000,15000
GET,/styles/main.css,484,0,4600,5335.917990909112,557.2306000003664,12481.020100000023,30922.0,10.771728527751694,0.0,4600,6900,8300,8600,9900,11000,12000,12000,12000,12000,12000
,Aggregated,2227,619,4800,5728.453970543352,167.10909999983414,15573.366699999497,24552.53839245622,49.56330461013021,13.776239584046072,4800,6700,8700,11000,12000,14000,15000,15000,15000,16000,16000
