Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777792244,50,,Aggregated,12.200000,0.000000,1300,2300,3600,3800,6300,6800,7800,8100,8300,8300,8300,359,0,1300,2168.3970158774714,94.88789999977598,8330.834299999879,16602.41225626741
1777792245,50,,Aggregated,12.100000,0.000000,1300,2300,3600,3800,6300,6800,7800,8100,8300,8300,8300,362,0,1300,2183.120793370202,94.88789999977598,8330.834299999879,16726.447513812156
1777792246,50,,Aggregated,11.000000,0.000000,1400,2300,3600,3800,6300,6800,7800,8100,8300,8300,8300,365,0,1400,2185.9011394520885,94.88789999977598,8330.834299999879,16591.534246575342
1777792247,50,,Aggregated,11.000000,0.000000,1400,2300,3600,3800,6300,6800,7800,8100,8300,8300,8300,365,0,1400,2185.9011394520885,94.88789999977598,8330.834299999879,16591.534246575342
1777792248,50,,Aggregated,11.100000,0.000000,1400,2400,3600,3900,6300,6800,7800,8100,8300,8300,8300,367,0,1400,2195.293060490497,94.88789999977598,8330.834299999879,16504.871934604904
1777792249,50,,Aggregated,10.700000,0.000000,1400,2400,3600,3900,6300,6800,7800,8100,8300,8300,8300,369,0,1400,2206.5831184282188,94.88789999977598,8330.834299999879,16418.048780487807
1777792250,50,,Aggregated,9.400000,0.000000,1400,2400,3600,3900,6300,6800,7800,8100,8300,8300,8300,373,0,1400,2239.8039632708087,94.88789999977598,8330.834299999879,16245.777479892762
1777792251,50,,Aggregated,9.200000,0.000000,1500,2400,3700,4000,6300,6900,8100,8300,11000,11000,11000,378,0,1400,2305.130914021196,94.88789999977598,10711.520099999689,16297.4708994709
1777792252,50,,Aggregated,9.100000,0.000000,1500,2500,3800,4400,6500,7500,11000,12000,12000,12000,12000,390,0,1500,2487.0314046154203,94.88789999977598,11821.983200000432,17095.376923076925
1777792253,50,,Aggregated,5.000000,0.000000,1400,2500,3900,5100,7200,8600,12000,12000,12000,12000,12000,461,0,1400,2658.876732754915,94.88789999977598,11859.42569999952,22097.952277657267
1777792254,50,,Aggregated,2.300000,0.000000,1300,2500,3800,5000,7200,8600,12000,12000,12000,12000,12000,469,0,1300,2616.551820469118,94.88789999977598,11859.42569999952,22465.464818763325
1777792255,50,,Aggregated,2.300000,0.000000,1300,2500,3800,5000,7200,8600,12000,12000,12000,12000,12000,470,0,1300,2611.4260357447165,94.88789999977598,11859.42569999952,22617.102127659575
1777792256,50,,Aggregated,4.000000,0.000000,1300,2500,3800,4800,7200,8600,12000,12000,12000,12000,12000,479,0,1300,2571.0503668058814,94.88789999977598,11859.42569999952,22270.34446764092
